Country or Territory,"Cancer survivors
","Radiotherapy availability
","UICC organizations
"
Puerto Rico,793.5,1.35,1
Tokelau,,,0
Afghanistan,151,0,2
Algeria,312.6,0.75,13
Azerbaijan,228.1,0.86,1
Albania,401.1,0.6,0
Armenia,402.2,0.34,2
Angola,190.2,0.19,0
Argenti,587.1,0.91,6
Australia,1849.8,1.12,192
Austria,737.9,1.03,1
Botswa,236.7,0.51,2
Belgium,1076,1.2,7
Bahamas,462.5,1.07,1
Bangladesh,168.3,0.21,5
Belize,274.9,0,1
Bosnia and Herzegovi,479.2,0.7,0
Bolivia (Pluritiol State of),285.4,0.54,3
Myanmar,210.9,0.27,5
Benin,198.1,0,6
Belarus,649,0.8,1
Brazil,513.3,0.63,74
Bhutan,137.1,1.71,0
Bulgaria,591.8,0.9,3
Brunei Darussalam,572.2,2.2,0
Burundi,194.8,0,1
Cada,1148.3,1.16,22
Cambodia,198.9,0.13,1
Chad,128.9,0,3
Sri Lanka,214.4,0.59,0
Congo,143.5,0,5
Democratic Republic of the Congo,153,0,6
Chile,512.1,0.94,4
Cameroon,180.5,0.06,7
Colombia,407.8,0.88,11
Costa Rica,487.4,0.62,6
Central African Republic,110.8,0,0
Cuba,516.8,0.4,3
Djibouti,143.7,0,1
Dominican Republic,361.5,1.17,4
Ecuador,362.9,0.78,5
Ireland,1240.5,1.26,4
Equatorial Guinea,189.2,0,0
Estonia,794.8,0.78,1
Eritrea,142.6,0,0
El Salvador,290.3,0.87,3
Ethiopia,155.7,0.01,1
Czechia,868.2,0.95,2
Finland,825.6,1.35,1
Fiji,395,0,2
France,1060.7,1.11,42
Gambia,74.8,0,0
Gabon,238.4,1.19,2
Georgia,329.7,1.81,4
Gha,228.5,0.18,5
Germany,1010.9,0.89,6
Greece,783.8,0.79,4
Guatemala,238.9,0.49,6
Guinea,131,,1
Guya,219.4,1.33,2
Haiti,207.3,0,3
Honduras,264.7,0.7,4
Croatia,769.8,0.67,2
Hungary,984,0.55,1
Iceland,810.8,1.32,1
India,173.5,0.54,27
Iran (Islamic Republic of),314.2,1.11,4
Côte d'Ivoire,166.9,0,9
Iraq,219.1,0.71,1
Japan,662.4,1.06,32
Jamaica,461.8,0.68,1
Jordan,358.6,1.28,2
Kenya,302.4,0.23,12
Kyrgyzstan,237.9,0.31,1
Democratic People's Republic of Korea,226.9,0.07,0
Republic of Korea,880.7,0.58,5
Kuwait,321.8,1.12,1
Kazakhstan,384.4,1.33,2
Lao People's Democratic Republic,255.6,0.13,1
Latvia,808.6,0.74,2
Lithuania,775.5,0.73,2
Liberia,142.9,0,0
Slovakia,803.3,0.72,2
Lesotho,199.2,0,0
Libya,254,0.48,0
Madagascar,194.8,0.11,2
Republic of Moldova,545.5,0.2,0
Mongolia,308.7,0.72,2
Malawi,277.7,0,2
Republic of North Macedonia,522.8,0.51,1
Mali,202.3,0.08,3
Morocco,288.9,0.72,6
Mauritania,161.8,0.37,5
Oman,250,0.6,2
Mexico,354.2,0.78,19
Malaysia,337.2,1.23,1
Mozambique,192.2,0,1
Niger,89.1,0.12,8
Vanuatu,199.7,0,0
Nigeria,183.2,0.02,25
Netherlands,1103.4,1.08,8
Norway,1120.3,1.25,2
Nepal,171.5,0.27,7
Surime,381,1.92,1
Nicaragua,277.5,0.25,3
New Zealand,1686.8,0.75,3
Paraguay,385.4,0.44,4
Peru,438.8,0.68,11
Pakistan,200.3,0.33,5
Poland,691.5,0.81,2
Pama,418.3,0.97,3
Portugal,719.2,0.95,6
Papua New Guinea,342.8,0.08,2
Guinea-Bissau,135.5,0,0
Qatar,250.3,2.38,1
Romania,552.6,0.56,2
Philippines,330.3,0.3,11
Russian Federation,571.3,0.81,6
Rwanda,220,0,4
Senegal,189.5,0.38,5
Slovenia,875.6,0.74,4
Sierra Leone,141,0,2
Somalia,148.8,0,0
Spain,798.2,1.01,8
Sweden,956.8,1.1,3
Syrian Arab Republic,298.5,0.3,1
Switzerland,1102.9,1.27,9
United Arab Emirates,303.1,1.06,5
Thailand,318.6,0.56,7
Tajikistan,149.6,0.18,1
Togo,169.7,0,2
Tunisia,256.1,1.38,7
Turkey,508.3,1.25,11
Turkmenistan,237.7,1.2,0
United Republic of Tanzania,229.2,0.17,5
Uganda,247.7,0.03,5
United Kingdom of Great Britain and Northern Ireland,1001.9,0.78,12
Ukraine,524.5,0.59,1
United States of America,1195.7,1.8,66
Burki Faso,158.1,0,4
Uruguay,643.2,0.86,4
Uzbekistan,182.4,0.28,0
"Venezuela, Bolivarian Republic of",461.1,0.83,6
Viet m,279,0.22,4
Eswatini,236.3,0,0
Zambia,266.9,0.25,4
